196 533
0 1 1.000
0 14 1.000
0 15 1.414
1 2 1.000
1 15 1.000
1 16 1.414
2 3 1.000
2 16 1.000
2 17 1.414
3 4 1.000
3 17 1.000
3 18 1.414
4 5 1.000
4 18 1.000
4 19 1.414
5 6 1.000
5 19 1.000
5 20 1.414
6 7 1.000
6 20 1.000
6 21 1.414
7 8 1.000
7 21 1.000
7 22 1.414
8 9 1.000
8 22 1.000
8 23 1.414
9 10 1.000
9 23 1.000
9 24 1.414
10 11 1.000
10 24 1.000
10 25 1.414
11 12 1.000
11 25 1.000
11 26 1.414
12 13 1.000
12 26 1.000
12 27 1.414
13 27 1.000
14 15 1.000
14 28 1.000
14 29 1.414
15 16 1.000
15 29 1.000
15 30 1.414
16 17 1.000
16 30 1.000
16 31 1.414
17 18 1.000
17 31 1.000
17 32 1.414
18 19 1.000
18 32 1.000
18 33 1.414
19 20 1.000
19 33 1.000
19 34 1.414
20 21 1.000
20 34 1.000
20 35 1.414
21 22 1.000
21 35 1.000
21 36 1.414
22 23 1.000
22 36 1.000
22 37 1.414
23 24 1.000
23 37 1.000
23 38 1.414
24 25 1.000
24 38 1.000
24 39 1.414
25 26 1.000
25 39 1.000
25 40 1.414
26 27 1.000
26 40 1.000
26 41 1.414
27 41 1.000
28 29 1.000
28 42 1.000
28 43 1.414
29 30 1.000
29 43 1.000
29 44 1.414
30 31 1.000
30 44 1.000
30 45 1.414
31 32 1.000
31 45 1.000
31 46 1.414
32 33 1.000
32 46 1.000
32 47 1.414
33 34 1.000
33 47 1.000
33 48 1.414
34 35 1.000
34 48 1.000
34 49 1.414
35 36 1.000
35 49 1.000
35 50 1.414
36 37 1.000
36 50 1.000
36 51 1.414
37 38 1.000
37 51 1.000
37 52 1.414
38 39 1.000
38 52 1.000
38 53 1.414
39 40 1.000
39 53 1.000
39 54 1.414
40 41 1.000
40 54 1.000
40 55 1.414
41 55 1.000
42 43 1.000
42 56 1.000
42 57 1.414
43 44 1.000
43 57 1.000
43 58 1.414
44 45 1.000
44 58 1.000
44 59 1.414
45 46 1.000
45 59 1.000
45 60 1.414
46 47 1.000
46 60 1.000
46 61 1.414
47 48 1.000
47 61 1.000
47 62 1.414
48 49 1.000
48 62 1.000
48 63 1.414
49 50 1.000
49 63 1.000
49 64 1.414
50 51 1.000
50 64 1.000
50 65 1.414
51 52 1.000
51 65 1.000
51 66 1.414
52 53 1.000
52 66 1.000
52 67 1.414
53 54 1.000
53 67 1.000
53 68 1.414
54 55 1.000
54 68 1.000
54 69 1.414
55 69 1.000
56 57 1.000
56 70 1.000
56 71 1.414
57 58 1.000
57 71 1.000
57 72 1.414
58 59 1.000
58 72 1.000
58 73 1.414
59 60 1.000
59 73 1.000
59 74 1.414
60 61 1.000
60 74 1.000
60 75 1.414
61 62 1.000
61 75 1.000
61 76 1.414
62 63 1.000
62 76 1.000
62 77 1.414
63 64 1.000
63 77 1.000
63 78 1.414
64 65 1.000
64 78 1.000
64 79 1.414
65 66 1.000
65 79 1.000
65 80 1.414
66 67 1.000
66 80 1.000
66 81 1.414
67 68 1.000
67 81 1.000
67 82 1.414
68 69 1.000
68 82 1.000
68 83 1.414
69 83 1.000
70 71 1.000
70 84 1.000
70 85 1.414
71 72 1.000
71 85 1.000
71 86 1.414
72 73 1.000
72 86 1.000
72 87 1.414
73 74 1.000
73 87 1.000
73 88 1.414
74 75 1.000
74 88 1.000
74 89 1.414
75 76 1.000
75 89 1.000
75 90 1.414
76 77 1.000
76 90 1.000
76 91 1.414
77 78 1.000
77 91 1.000
77 92 1.414
78 79 1.000
78 92 1.000
78 93 1.414
79 80 1.000
79 93 1.000
79 94 1.414
80 81 1.000
80 94 1.000
80 95 1.414
81 82 1.000
81 95 1.000
81 96 1.414
82 83 1.000
82 96 1.000
82 97 1.414
83 97 1.000
84 85 1.000
84 98 1.000
84 99 1.414
85 86 1.000
85 99 1.000
85 100 1.414
86 87 1.000
86 100 1.000
86 101 1.414
87 88 1.000
87 101 1.000
87 102 1.414
88 89 1.000
88 102 1.000
88 103 1.414
89 90 1.000
89 103 1.000
89 104 1.414
90 91 1.000
90 104 1.000
90 105 1.414
91 92 1.000
91 105 1.000
91 106 1.414
92 93 1.000
92 106 1.000
92 107 1.414
93 94 1.000
93 107 1.000
93 108 1.414
94 95 1.000
94 108 1.000
94 109 1.414
95 96 1.000
95 109 1.000
95 110 1.414
96 97 1.000
96 110 1.000
96 111 1.414
97 111 1.000
98 99 1.000
98 112 1.000
98 113 1.414
99 100 1.000
99 113 1.000
99 114 1.414
100 101 1.000
100 114 1.000
100 115 1.414
101 102 1.000
101 115 1.000
101 116 1.414
102 103 1.000
102 116 1.000
102 117 1.414
103 104 1.000
103 117 1.000
103 118 1.414
104 105 1.000
104 118 1.000
104 119 1.414
105 106 1.000
105 119 1.000
105 120 1.414
106 107 1.000
106 120 1.000
106 121 1.414
107 108 1.000
107 121 1.000
107 122 1.414
108 109 1.000
108 122 1.000
108 123 1.414
109 110 1.000
109 123 1.000
109 124 1.414
110 111 1.000
110 124 1.000
110 125 1.414
111 125 1.000
112 113 1.000
112 126 1.000
112 127 1.414
113 114 1.000
113 127 1.000
113 128 1.414
114 115 1.000
114 128 1.000
114 129 1.414
115 116 1.000
115 129 1.000
115 130 1.414
116 117 1.000
116 130 1.000
116 131 1.414
117 118 1.000
117 131 1.000
117 132 1.414
118 119 1.000
118 132 1.000
118 133 1.414
119 120 1.000
119 133 1.000
119 134 1.414
120 121 1.000
120 134 1.000
120 135 1.414
121 122 1.000
121 135 1.000
121 136 1.414
122 123 1.000
122 136 1.000
122 137 1.414
123 124 1.000
123 137 1.000
123 138 1.414
124 125 1.000
124 138 1.000
124 139 1.414
125 139 1.000
126 127 1.000
126 140 1.000
126 141 1.414
127 128 1.000
127 141 1.000
127 142 1.414
128 129 1.000
128 142 1.000
128 143 1.414
129 130 1.000
129 143 1.000
129 144 1.414
130 131 1.000
130 144 1.000
130 145 1.414
131 132 1.000
131 145 1.000
