196 266
0 1 1.000
0 14 1.000
0 15 1.414
1 15 1.000
1 16 1.414
2 16 1.000
3 18 1.414
4 5 1.000
4 18 1.000
5 6 1.000
5 19 1.000
5 20 1.414
6 21 1.414
8 9 1.000
9 10 1.000
9 23 1.000
10 11 1.000
10 24 1.000
10 25 1.414
11 25 1.000
11 26 1.414
12 26 1.000
14 29 1.414
15 29 1.000
15 30 1.414
16 31 1.414
17 18 1.000
18 19 1.000
18 32 1.000
18 33 1.414
19 20 1.000
19 34 1.414
20 34 1.000
21 35 1.000
21 36 1.414
22 37 1.414
23 38 1.414
24 39 1.414
25 26 1.000
25 39 1.000
26 40 1.000
28 29 1.000
28 42 1.000
28 43 1.414
29 30 1.000
31 32 1.000
31 45 1.000
31 46 1.414
32 46 1.000
33 34 1.000
33 47 1.000
34 35 1.000
34 48 1.000
35 49 1.000
36 37 1.000
36 50 1.000
36 51 1.414
37 51 1.000
38 39 1.000
39 40 1.000
39 53 1.000
40 41 1.000
40 55 1.414
43 57 1.000
44 59 1.414
45 60 1.414
46 60 1.000
47 48 1.000
47 62 1.414
49 50 1.000
49 63 1.000
50 51 1.000
50 64 1.000
50 65 1.414
51 65 1.000
51 66 1.414
52 53 1.000
52 66 1.000
53 54 1.000
53 68 1.414
54 55 1.000
54 68 1.000
54 69 1.414
55 69 1.000
56 71 1.414
57 71 1.000
58 72 1.000
59 60 1.000
59 73 1.000
59 74 1.414
60 74 1.000
61 75 1.000
63 64 1.000
64 78 1.000
65 66 1.000
66 80 1.000
66 81 1.414
67 68 1.000
68 69 1.000
68 82 1.000
68 83 1.414
71 72 1.000
72 73 1.000
72 87 1.414
73 87 1.000
73 88 1.414
75 90 1.414
76 90 1.000
77 78 1.000
78 92 1.000
79 80 1.000
80 94 1.000
81 82 1.000
81 96 1.414
82 83 1.000
83 97 1.000
84 85 1.000
84 99 1.414
85 99 1.000
85 100 1.414
86 87 1.000
86 101 1.414
87 101 1.000
88 102 1.000
89 90 1.000
89 103 1.000
89 104 1.414
91 106 1.414
92 93 1.000
92 106 1.000
93 107 1.000
93 108 1.414
94 108 1.000
95 109 1.000
96 97 1.000
96 111 1.414
98 113 1.414
99 113 1.000
100 115 1.414
101 116 1.414
102 116 1.000
102 117 1.414
103 117 1.000
103 118 1.414
104 118 1.000
106 107 1.000
106 121 1.414
107 108 1.000
107 122 1.414
108 109 1.000
108 122 1.000
108 123 1.414
110 111 1.000
110 124 1.000
110 125 1.414
111 125 1.000
112 113 1.000
112 126 1.000
113 114 1.000
113 128 1.414
115 116 1.000
116 117 1.000
117 131 1.000
118 119 1.000
118 132 1.000
119 133 1.000
119 134 1.414
120 121 1.000
120 135 1.414
121 122 1.000
123 124 1.000
124 138 1.000
126 140 1.000
126 141 1.414
127 128 1.000
127 141 1.000
128 143 1.414
129 130 1.000
129 143 1.000
130 145 1.414
131 132 1.000
131 146 1.414
132 147 1.414
133 147 1.000
134 135 1.000
134 148 1.000
135 136 1.000
135 149 1.000
135 150 1.414
136 150 1.000
136 151 1.414
137 138 1.000
138 139 1.000
138 153 1.414
139 153 1.000
140 155 1.414
141 155 1.000
142 157 1.414
143 157 1.000
143 158 1.414
144 145 1.000
144 158 1.000
145 146 1.000
146 147 1.000
146 160 1.000
147 148 1.000
148 149 1.000
149 150 1.000
149 164 1.414
150 151 1.000
150 165 1.414
151 165 1.000
154 168 1.000
155 169 1.000
156 157 1.000
156 170 1.000
156 171 1.414
157 158 1.000
157 172 1.414
158 159 1.000
158 173 1.414
159 160 1.000
159 173 1.000
161 176 1.414
162 163 1.000
162 176 1.000
162 177 1.414
163 164 1.000
163 178 1.414
164 165 1.000
165 166 1.000
165 179 1.000
165 180 1.414
166 180 1.000
166 181 1.414
167 181 1.000
168 169 1.000
168 182 1.000
169 170 1.000
170 184 1.000
171 185 1.000
171 186 1.414
172 173 1.000
172 187 1.414
173 187 1.000
174 188 1.000
174 189 1.414
175 189 1.000
175 190 1.414
176 177 1.000
177 191 1.000
178 193 1.414
179 180 1.000
179 194 1.414
180 194 1.000
182 183 1.000
183 184 1.000
184 185 1.000
187 188 1.000
188 189 1.000
189 190 1.000
190 191 1.000
191 192 1.000
192 193 1.000
193 194 1.000
194 195 1.000
