68 115
1 2 4
2 3 3
3 4 4
1 5 20
2 6 20
3 7 20
4 8 20
5 6 4
6 7 3
7 8 4
5 9 5
6 10 5
7 11 5
8 12 5
9 10 4
10 11 3
11 12 4
9 13 7
10 14 7
11 15 7
12 16 7
13 14 4
14 15 3
15 16 4
13 17 21
14 18 21
15 19 21
16 20 21
17 18 4
18 19 3
19 20 4
17 21 19
18 22 19
19 23 19
20 24 19
21 22 4
22 23 3
23 24 4
21 25 6
22 26 6
23 27 6
24 28 6
25 26 4
26 27 3
27 28 4
25 29 7
26 30 7
27 31 7
28 32 7
29 30 4
30 31 3
31 32 4
29 33 20
30 34 20
31 35 20
32 36 20
33 34 4
34 35 3
35 36 4
33 37 22
34 38 22
35 39 22
36 40 22
37 38 4
38 39 3
39 40 4
37 41 7
38 42 7
39 43 7
40 44 7
41 42 4
42 43 3
43 44 4
41 45 8
42 46 8
43 47 8
44 48 8
45 46 4
46 47 3
47 48 4
45 49 19
46 50 19
47 51 19
48 52 19
49 50 4
50 51 3
51 52 4
49 53 21
50 54 21
51 55 21
52 56 21
53 54 4
54 55 3
55 56 4
53 57 5
54 58 5
55 59 5
56 60 5
57 58 4
58 59 3
59 60 4
57 61 7
58 62 7
59 63 7
60 64 7
61 62 4
62 63 3
63 64 4
61 65 18
62 66 18
63 67 18
64 68 18
65 66 4
66 67 3
67 68 4
