100 2430
1 2 9
1 4 3
1 11 6
1 13 6
1 14 8
1 15 3
1 16 9
1 18 4
1 23 1
1 24 3
1 25 5
1 27 9
1 29 8
1 31 9
1 36 1
1 37 9
1 41 3
1 42 6
1 45 3
1 46 5
1 47 8
1 48 8
1 49 7
1 51 0
1 52 1
1 54 1
1 55 2
1 57 3
1 63 5
1 65 8
1 67 6
1 70 5
1 71 6
1 73 0
1 74 1
1 76 5
1 77 4
1 78 4
1 79 9
1 80 7
1 81 5
1 86 9
1 90 1
1 92 4
1 94 4
1 95 4
1 98 0
1 100 9
2 6 2
2 7 1
2 8 9
2 11 3
2 12 6
2 14 9
2 16 4
2 18 5
2 19 5
2 20 1
2 21 1
2 22 8
2 23 3
2 24 9
2 25 7
2 26 8
2 27 6
2 28 5
2 29 6
2 31 4
2 32 7
2 33 4
2 35 5
2 36 4
2 39 0
2 40 5
2 42 8
2 43 4
2 44 3
2 45 5
2 46 8
2 47 5
2 50 8
2 55 2
2 56 3
2 58 7
2 59 0
2 61 3
2 65 2
2 66 5
2 69 3
2 73 0
2 76 2
2 77 7
2 79 5
2 84 0
2 85 7
2 86 7
2 87 9
2 89 4
2 90 9
2 91 4
2 96 3
2 97 0
2 98 6
3 5 9
3 6 6
3 13 2
3 24 0
3 25 6
3 29 1
3 36 0
3 37 6
3 40 1
3 41 4
3 43 9
3 44 5
3 45 0
3 46 8
3 50 9
3 51 5
3 52 0
3 53 4
3 57 7
3 58 2
3 62 7
3 64 1
3 65 9
3 67 2
3 70 1
3 76 4
3 78 7
3 79 4
3 85 5
3 88 8
3 91 7
3 94 0
3 95 9
3 96 2
3 97 0
3 98 8
4 6 6
4 10 1
4 11 5
4 12 7
4 15 5
4 16 2
4 18 3
4 19 0
4 21 0
4 22 2
4 23 6
4 24 8
4 25 5
4 26 3
4 28 7
4 31 6
4 36 5
4 37 7
4 38 0
4 39 6
4 45 7
4 46 3
4 47 1
4 48 7
4 50 2
4 51 1
4 54 2
4 56 6
4 58 0
4 59 5
4 60 7
4 61 3
4 62 5
4 64 2
4 66 3
4 67 7
4 68 6
4 69 8
4 72 3
4 73 3
4 75 7
4 76 0
4 77 4
4 78 3
4 80 8
4 81 4
4 84 0
4 86 1
4 97 2
5 7 6
5 9 2
5 11 1
5 12 7
5 13 2
5 15 2
5 16 4
5 17 3
5 18 5
5 19 0
5 24 4
5 26 3
5 30 0
