type,n,m,t,otps,cmps,iters
max,196,533,126,7,2,8
min,196,533,126,7,2,10
rnd,196,533,126,7,2,8
max,196,533,120,4,2,6
min,196,533,120,4,2,12
rnd,196,533,120,4,2,8
max,196,533,172,2,2,3
min,196,533,172,2,2,3
rnd,196,533,172,2,2,3
max,196,533,135,4,2,5
min,196,533,135,4,2,5
rnd,196,533,135,4,2,5
max,196,533,182,5,2,8
max,196,533,132,4,2,5
min,196,533,132,4,2,6
rnd,196,533,132,4,2,5
max,196,533,141,2,2,4
min,196,533,141,2,2,4
rnd,196,533,141,2,2,4
max,196,533,176,9,2,11
min,196,533,176,9,2,30
rnd,196,533,176,9,2,25
max,196,533,161,4,2,9
min,196,533,161,4,2,10
rnd,196,533,161,4,2,9
max,196,533,195,11,2,23
max,196,533,140,8,2,12
min,196,533,140,8,2,33
rnd,196,533,140,8,2,15
max,196,533,195,21,2,22
max,196,533,154,10,2,11
min,196,533,154,10,2,13
rnd,196,533,154,10,2,11
max,196,533,142,2,2,4
min,196,533,142,2,2,4
rnd,196,533,142,2,2,4
max,196,533,190,5,3,6
min,196,533,190,5,3,9
rnd,196,533,190,5,3,8
max,196,533,133,5,2,6
min,196,533,133,5,2,6
rnd,196,533,133,5,2,6
max,196,533,123,5,2,6
min,196,533,123,5,2,10
rnd,196,533,123,5,2,7
max,196,533,129,5,2,6
min,196,533,129,5,2,8
rnd,196,533,129,5,2,6
max,196,533,186,2,2,3
min,196,533,186,2,2,3
rnd,196,533,186,2,2,3
max,196,533,154,4,2,6
min,196,533,154,4,2,8
rnd,196,533,154,4,2,7
max,196,533,98,7,3,12
min,196,533,98,7,3,14
rnd,196,533,98,7,3,10
max,196,533,149,8,2,11
min,196,533,149,8,2,21
rnd,196,533,149,8,2,13
max,196,533,157,13,3,27
max,196,533,185,6,2,7
min,196,533,185,6,2,12
rnd,196,533,185,6,2,9
max,196,533,91,18,3,21
rnd,196,533,91,18,3,33
max,196,533,111,2,2,3
min,196,533,111,2,2,3
rnd,196,533,111,2,2,3
max,196,533,175,3,2,6
min,196,533,175,3,2,7
rnd,196,533,175,3,2,6
max,196,533,195,8,2,12
min,196,533,195,8,2,22
rnd,196,533,195,8,2,20
max,196,533,156,4,2,5
min,196,533,156,4,2,6
rnd,196,533,156,4,2,5
max,196,533,127,4,2,7
min,196,533,127,4,2,9
rnd,196,533,127,4,2,7
max,196,533,155,7,2,8
min,196,533,155,7,2,11
rnd,196,533,155,7,2,14
max,196,533,128,13,2,14
min,196,533,128,13,2,18
rnd,196,533,128,13,2,19
max,196,533,112,4,2,5
min,196,533,112,4,2,5
rnd,196,533,112,4,2,5
max,196,533,155,11,3,14
rnd,196,533,155,11,3,23
max,196,533,80,6,2,8
min,196,533,80,6,2,16
rnd,196,533,80,6,2,13
max,196,533,75,5,2,10
min,196,533,75,5,2,12
rnd,196,533,75,5,2,13
max,196,533,162,15,3,16
rnd,196,533,162,15,3,22
max,196,533,173,6,2,8
min,196,533,173,6,2,15
rnd,196,533,173,6,2,13
max,196,533,136,5,2,6
min,196,533,136,5,2,8
rnd,196,533,136,5,2,7
max,196,533,164,3,2,5
min,196,533,164,3,2,5
rnd,196,533,164,3,2,5
max,196,533,181,2,2,4
min,196,533,181,2,2,4
rnd,196,533,181,2,2,4
max,196,533,140,10,2,12
min,196,533,140,10,2,17
rnd,196,533,140,10,2,13
max,196,533,103,3,2,4
min,196,533,103,3,2,6
rnd,196,533,103,3,2,4
max,196,533,159,5,2,6
min,196,533,159,5,2,9
rnd,196,533,159,5,2,7
max,196,533,144,17,3,22
min,196,533,144,17,3,30
rnd,196,533,144,17,3,33
max,196,533,151,12,2,15
min,196,533,151,12,2,37
rnd,196,533,151,12,2,17
max,196,533,109,5,2,8
min,196,533,109,5,2,13
rnd,196,533,109,5,2,11
max,196,533,165,11,2,12
min,196,533,165,11,2,25
rnd,196,533,165,11,2,19
max,196,533,190,8,2,10
max,196,533,152,2,2,3
min,196,533,152,2,2,3
rnd,196,533,152,2,2,3
max,196,533,197,3,2,4
min,196,533,197,3,2,5
rnd,196,533,197,3,2,4
max,196,533,89,3,2,6
min,196,533,89,3,2,7
