type,n,m,t,otps,cmps,iters
max,190,266,35,13,9,67
max,190,266,48,11,10,54
min,190,266,48,11,10,64
rnd,190,266,48,11,10,65
max,190,266,32,11,7,58
rnd,190,266,32,11,7,42
max,190,266,22,3,4,4
min,190,266,22,3,4,4
rnd,190,266,22,3,4,4
max,190,266,42,10,8,45
min,190,266,42,10,8,51
rnd,190,266,42,10,8,31
max,190,266,17,1,2,2
min,190,266,17,1,2,2
rnd,190,266,17,1,2,2
max,190,266,15,3,3,4
min,190,266,15,3,3,4
rnd,190,266,15,3,3,5
max,190,266,29,5,4,13
min,190,266,29,5,4,10
rnd,190,266,29,5,4,12
max,190,266,13,4,4,7
min,190,266,13,4,4,7
rnd,190,266,13,4,4,7
max,190,266,11,1,2,2
min,190,266,11,1,2,2
rnd,190,266,11,1,2,2
max,190,266,4,0,2,1
min,190,266,4,0,2,1
rnd,190,266,4,0,2,1
max,190,266,36,6,5,9
min,190,266,36,6,5,12
rnd,190,266,36,6,5,10
max,190,266,19,1,3,2
min,190,266,19,1,3,2
rnd,190,266,19,1,3,2
max,190,266,10,1,3,2
min,190,266,10,1,3,2
rnd,190,266,10,1,3,2
max,190,266,26,5,6,7
min,190,266,26,5,6,10
rnd,190,266,26,5,6,9
max,190,266,44,18,9,70
max,190,266,36,18,8,93
max,190,266,22,3,4,4
min,190,266,22,3,4,6
rnd,190,266,22,3,4,5
max,190,266,30,2,4,3
min,190,266,30,2,4,3
rnd,190,266,30,2,4,3
max,190,266,8,0,2,1
min,190,266,8,0,2,1
rnd,190,266,8,0,2,1
max,190,266,12,2,3,3
min,190,266,12,2,3,3
rnd,190,266,12,2,3,3
max,190,266,35,9,6,26
min,190,266,35,9,6,37
rnd,190,266,35,9,6,31
max,190,266,30,12,7,25
min,190,266,30,12,7,103
rnd,190,266,30,12,7,69
max,190,266,35,7,8,12
min,190,266,35,7,8,13
rnd,190,266,35,7,8,13
max,190,266,5,1,2,2
min,190,266,5,1,2,2
rnd,190,266,5,1,2,2
max,190,266,42,7,5,13
min,190,266,42,7,5,16
rnd,190,266,42,7,5,13
max,190,266,18,2,2,3
min,190,266,18,2,2,3
rnd,190,266,18,2,2,3
max,190,266,29,8,5,13
min,190,266,29,8,5,28
rnd,190,266,29,8,5,22
max,190,266,30,3,2,4
min,190,266,30,3,2,4
rnd,190,266,30,3,2,4
max,190,266,39,4,6,5
min,190,266,39,4,6,9
rnd,190,266,39,4,6,5
max,190,266,19,2,2,3
min,190,266,19,2,2,4
rnd,190,266,19,2,2,4
max,190,266,14,2,3,3
min,190,266,14,2,3,3
rnd,190,266,14,2,3,3
max,190,266,39,5,5,6
min,190,266,39,5,5,6
rnd,190,266,39,5,5,6
max,190,266,6,1,2,2
min,190,266,6,1,2,2
rnd,190,266,6,1,2,2
max,190,266,5,0,2,1
min,190,266,5,0,2,1
rnd,190,266,5,0,2,1
max,190,266,38,14,10,33
min,190,266,38,14,10,42
rnd,190,266,38,14,10,49
max,190,266,39,5,7,6
min,190,266,39,5,7,6
rnd,190,266,39,5,7,6
max,190,266,20,4,5,5
min,190,266,20,4,5,5
rnd,190,266,20,4,5,5
max,190,266,21,9,8,22
min,190,266,21,9,8,23
rnd,190,266,21,9,8,19
max,190,266,48,12,9,56
rnd,190,266,48,12,9,102
max,190,266,8,1,3,2
min,190,266,8,1,3,2
rnd,190,266,8,1,3,2
rnd,190,266,42,18,9,94
max,190,266,34,13,8,48
min,190,266,34,13,8,78
rnd,190,266,34,13,8,72
max,190,266,19,1,3,2
min,190,266,19,1,3,2
rnd,190,266,19,1,3,2
max,190,266,5,0,2,1
min,190,266,5,0,2,1
rnd,190,266,5,0,2,1
min,190,266,31,12,9,63
rnd,190,266,31,12,9,89
max,190,266,21,6,4,7
min,190,266,21,6,4,7
rnd,190,266,21,6,4,7
max,190,266,50,10,9,91
min,190,266,50,10,9,102
rnd,190,266,50,10,9,57
max,190,266,13,7,4,30
min,190,266,13,7,4,43
rnd,190,266,13,7,4,32
max,190,266,38,14,11,62
rnd,190,266,38,14,11,82
max,190,266,17,1,2,2
min,190,266,17,1,2,2
rnd,190,266,17,1,2,2
max,190,266,22,6,6,7
min,190,266,22,6,6,7
rnd,190,266,22,6,6,7
max,190,266,33,6,7,7
min,190,266,33,6,7,7
rnd,190,266,33,6,7,7
max,190,266,38,17,5,28
min,190,266,38,17,5,80
rnd,190,266,38,17,5,51
max,190,266,17,1,2,2
min,190,266,17,1,2,2
rnd,190,266,17,1,2,2
max,190,266,36,16,11,40
min,190,266,36,16,11,61
rnd,190,266,36,16,11,33
max,190,266,18,4,4,7
min,190,266,18,4,4,8
rnd,190,266,18,4,4,6
max,190,266,8,1,3,2
min,190,266,8,1,3,2
rnd,190,266,8,1,3,2
max,190,266,6,1,2,2
min,190,266,6,1,2,2
rnd,190,266,6,1,2,2
max,190,266,22,7,6,14
min,190,266,22,7,6,19
rnd,190,266,22,7,6,10
max,190,266,48,10,9,28
min,190,266,48,10,9,66
rnd,190,266,48,10,9,27
max,190,266,22,3,4,5
min,190,266,22,3,4,5
rnd,190,266,22,3,4,5
max,190,266,35,9,8,10
min,190,266,35,9,8,18
rnd,190,266,35,9,8,10
max,190,266,23,5,4,15
min,190,266,23,5,4,18
rnd,190,266,23,5,4,17
max,190,266,15,1,3,2
min,190,266,15,1,3,2
rnd,190,266,15,1,3,2
max,190,266,5,2,3,3
min,190,266,5,2,3,4
rnd,190,266,5,2,3,3
max,190,266,26,7,6,12
min,190,266,26,7,6,12
rnd,190,266,26,7,6,9
max,190,266,16,4,2,8
min,190,266,16,4,2,12
rnd,190,266,16,4,2,8
max,190,266,25,7,4,19
min,190,266,25,7,4,43
rnd,190,266,25,7,4,25
max,190,266,33,9,5,16
min,190,266,33,9,5,52
rnd,190,266,33,9,5,23
max,190,266,23,2,4,3
min,190,266,23,2,4,3
rnd,190,266,23,2,4,3
max,190,266,9,1,2,2
min,190,266,9,1,2,2
rnd,190,266,9,1,2,2
max,190,266,46,14,12,97
max,190,266,25,5,6,9
min,190,266,25,5,6,11
rnd,190,266,25,5,6,9
max,190,266,14,2,2,3
min,190,266,14,2,2,3
rnd,190,266,14,2,2,3
max,190,266,31,2,4,3
min,190,266,31,2,4,4
rnd,190,266,31,2,4,4
max,190,266,21,3,6,4
min,190,266,21,3,6,5
rnd,190,266,21,3,6,5
max,190,266,10,2,2,4
min,190,266,10,2,2,4
rnd,190,266,10,2,2,4
max,190,266,37,3,5,4
min,190,266,37,3,5,4
rnd,190,266,37,3,5,4
max,190,266,13,1,2,2
min,190,266,13,1,2,2
rnd,190,266,13,1,2,2
max,190,266,25,14,10,22
min,190,266,25,14,10,54
rnd,190,266,25,14,10,44
max,190,266,32,9,8,20
min,190,266,32,9,8,32
rnd,190,266,32,9,8,22
max,190,266,37,7,6,16
min,190,266,37,7,6,19
rnd,190,266,37,7,6,15
max,190,266,48,19,11,45
max,190,266,46,19,10,73
max,190,266,19,1,3,2
min,190,266,19,1,3,2
rnd,190,266,19,1,3,2
max,190,266,49,10,6,15
min,190,266,49,10,6,31
rnd,190,266,49,10,6,17
max,190,266,11,1,2,2
min,190,266,11,1,2,2
rnd,190,266,11,1,2,2
max,190,266,26,7,5,8
min,190,266,26,7,5,14
rnd,190,266,26,7,5,11
max,190,266,11,1,2,2
min,190,266,11,1,2,2
rnd,190,266,11,1,2,2
max,190,266,34,2,4,3
min,190,266,34,2,4,3
rnd,190,266,34,2,4,3
max,190,266,37,5,6,6
min,190,266,37,5,6,7
rnd,190,266,37,5,6,6
max,190,266,38,11,8,14
min,190,266,38,11,8,50
rnd,190,266,38,11,8,15
max,190,266,19,4,5,5
min,190,266,19,4,5,5
rnd,190,266,19,4,5,5
max,190,266,42,8,7,27
min,190,266,42,8,7,30
rnd,190,266,42,8,7,30
max,190,266,24,5,4,6
min,190,266,24,5,4,8
rnd,190,266,24,5,4,6
max,190,266,8,1,2,2
min,190,266,8,1,2,2
rnd,190,266,8,1,2,2
max,190,266,47,16,10,126
max,190,266,32,8,7,16
min,190,266,32,8,7,11
rnd,190,266,32,8,7,20
max,190,266,38,4,7,5
min,190,266,38,4,7,5
rnd,190,266,38,4,7,5
max,190,266,46,17,11,53
min,190,266,46,17,11,54
rnd,190,266,46,17,11,56
max,190,266,33,21,10,43
min,190,266,33,21,10,54
rnd,190,266,33,21,10,49
max,190,266,8,1,2,2
min,190,266,8,1,2,2
