type,n,m,t,otps,cmps,iters
max,55,58,11,18,9,19
min,55,58,11,18,9,203
rnd,55,58,11,18,9,200
max,55,58,5,4,4,5
min,55,58,5,4,4,9
rnd,55,58,5,4,4,5
max,55,58,18,48,16,86
rnd,55,58,18,48,16,441
max,55,58,7,7,6,12
min,55,58,7,7,6,28
rnd,55,58,7,7,6,26
max,55,58,10,14,8,15
min,55,58,10,14,8,33
rnd,55,58,10,14,8,26
max,55,58,21,43,14,44
min,55,58,21,43,14,134
rnd,55,58,21,43,14,136
max,55,58,13,26,10,48
rnd,55,58,13,26,10,249
max,55,58,4,3,3,4
min,55,58,4,3,3,4
rnd,55,58,4,3,3,4
max,55,58,20,58,14,113
max,55,58,11,25,10,26
min,55,58,11,25,10,123
rnd,55,58,11,25,10,46
max,55,58,19,47,14,188
max,55,58,10,14,8,15
min,55,58,10,14,8,65
rnd,55,58,10,14,8,17
max,55,58,6,7,5,8
min,55,58,6,7,5,22
rnd,55,58,6,7,5,15
max,55,58,20,28,13,58
rnd,55,58,20,28,13,114
max,55,58,8,27,7,28
min,55,58,8,27,7,28
rnd,55,58,8,27,7,46
max,55,58,16,46,15,47
min,55,58,16,46,15,1235
rnd,55,58,16,46,15,1021
max,55,58,19,57,14,123
rnd,55,58,19,57,14,371
max,55,58,5,6,4,7
min,55,58,5,6,4,7
rnd,55,58,5,6,4,13
max,55,58,20,66,15,67
min,55,58,20,66,15,599
rnd,55,58,20,66,15,75
max,55,58,8,9,7,15
min,55,58,8,9,7,32
rnd,55,58,8,9,7,25
max,55,58,23,50,15,51
min,55,58,23,50,15,945
rnd,55,58,23,50,15,427
max,55,58,11,17,8,33
min,55,58,11,17,8,128
rnd,55,58,11,17,8,60
max,55,58,15,45,15,86
max,55,58,12,22,10,33
min,55,58,12,22,10,481
rnd,55,58,12,22,10,204
max,55,58,3,4,4,5
min,55,58,3,4,4,8
rnd,55,58,3,4,4,5
max,55,58,4,3,4,4
min,55,58,4,3,4,4
rnd,55,58,4,3,4,4
max,55,58,23,72,16,119
max,55,58,12,24,8,93
max,55,58,5,2,3,3
min,55,58,5,2,3,3
rnd,55,58,5,2,3,3
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,4,5,3,6
min,55,58,4,5,3,6
rnd,55,58,4,5,3,6
max,55,58,16,44,14,45
min,55,58,16,44,14,415
rnd,55,58,16,44,14,116
max,55,58,10,25,10,52
min,55,58,10,25,10,208
rnd,55,58,10,25,10,341
max,55,58,20,36,14,63
max,55,58,4,4,4,5
min,55,58,4,4,4,9
rnd,55,58,4,4,4,5
max,55,58,17,41,12,42
min,55,58,17,41,12,65
rnd,55,58,17,41,12,228
max,55,58,8,13,8,44
min,55,58,8,13,8,404
rnd,55,58,8,13,8,101
max,55,58,20,80,16,220
max,55,58,13,22,12,39
min,55,58,13,22,12,1704
rnd,55,58,13,22,12,792
max,55,58,4,4,4,5
min,55,58,4,4,4,9
rnd,55,58,4,4,4,5
max,55,58,7,6,6,7
min,55,58,7,6,6,14
rnd,55,58,7,6,6,7
max,55,58,2,3,3,4
min,55,58,2,3,3,7
rnd,55,58,2,3,3,4
max,55,58,15,33,12,55
min,55,58,15,33,12,1589
rnd,55,58,15,33,12,78
max,55,58,22,60,17,106
rnd,55,58,22,60,17,1238
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,15,56,14,107
min,55,58,15,56,14,177
rnd,55,58,15,56,14,447
max,55,58,11,16,7,31
min,55,58,11,16,7,163
rnd,55,58,11,16,7,47
max,55,58,11,13,9,14
min,55,58,11,13,9,210
rnd,55,58,11,13,9,22
max,55,58,21,58,15,117
rnd,55,58,21,58,15,419
max,55,58,11,22,10,32
min,55,58,11,22,10,132
rnd,55,58,11,22,10,175
max,55,58,18,39,17,40
max,55,58,10,25,10,26
min,55,58,10,25,10,55
rnd,55,58,10,25,10,127
max,55,58,9,18,9,32
min,55,58,9,18,9,24
rnd,55,58,9,18,9,27
max,55,58,3,3,3,4
min,55,58,3,3,3,7
rnd,55,58,3,3,3,7
max,55,58,10,18,8,19
min,55,58,10,18,8,58
rnd,55,58,10,18,8,40
max,55,58,7,13,7,14
min,55,58,7,13,7,33
rnd,55,58,7,13,7,27
max,55,58,23,83,18,155
max,55,58,9,10,8,15
min,55,58,9,10,8,28
rnd,55,58,9,10,8,20
max,55,58,21,58,16,114
min,55,58,21,58,16,884
max,55,58,21,62,16,115
rnd,55,58,21,62,16,1364
max,55,58,11,26,9,47
min,55,58,11,26,9,129
rnd,55,58,11,26,9,201
max,55,58,2,2,3,3
min,55,58,2,2,3,3
rnd,55,58,2,2,3,3
max,55,58,14,40,13,41
rnd,55,58,14,40,13,700
max,55,58,15,28,11,29
min,55,58,15,28,11,614
rnd,55,58,15,28,11,129
max,55,58,10,17,9,18
min,55,58,10,17,9,85
rnd,55,58,10,17,9,60
max,55,58,9,15,8,16
min,55,58,9,15,8,120
rnd,55,58,9,15,8,102
max,55,58,3,3,3,4
min,55,58,3,3,3,7
rnd,55,58,3,3,3,7
max,55,58,24,52,17,53
min,55,58,24,52,17,1577
rnd,55,58,24,52,17,1956
max,55,58,14,32,12,60
rnd,55,58,14,32,12,104
max,55,58,21,47,15,84
rnd,55,58,21,47,15,507
max,55,58,5,3,4,4
min,55,58,5,3,4,4
rnd,55,58,5,3,4,4
max,55,58,21,65,16,118
max,55,58,18,39,11,65
rnd,55,58,18,39,11,456
max,55,58,6,9,6,10
min,55,58,6,9,6,51
rnd,55,58,6,9,6,22
max,55,58,8,11,8,12
min,55,58,8,11,8,55
rnd,55,58,8,11,8,12
max,55,58,10,21,9,22
min,55,58,10,21,9,121
rnd,55,58,10,21,9,51
max,55,58,10,22,10,23
min,55,58,10,22,10,210
rnd,55,58,10,22,10,69
max,55,58,3,2,3,3
min,55,58,3,2,3,3
rnd,55,58,3,2,3,3
max,55,58,4,5,4,6
min,55,58,4,5,4,16
rnd,55,58,4,5,4,9
max,55,58,11,16,9,33
min,55,58,11,16,9,393
rnd,55,58,11,16,9,251
max,55,58,18,31,13,32
min,55,58,18,31,13,966
rnd,55,58,18,31,13,80
max,55,58,10,26,11,27
min,55,58,10,26,11,224
rnd,55,58,10,26,11,49
max,55,58,9,8,5,9
min,55,58,9,8,5,9
rnd,55,58,9,8,5,9
max,55,58,10,26,9,27
min,55,58,10,26,9,59
