type,n,m,t,otps,cmps,iters
max,39,170,86,13,2,41
min,39,170,86,13,2,49
rnd,39,170,86,13,2,28
max,39,170,119,13,2,23
min,39,170,119,13,2,54
rnd,39,170,119,13,2,28
max,39,170,128,25,2,49
min,39,170,128,25,2,62
rnd,39,170,128,25,2,63
max,39,170,140,10,2,19
min,39,170,140,10,2,18
rnd,39,170,140,10,2,23
max,39,170,116,13,2,14
min,39,170,116,13,2,14
rnd,39,170,116,13,2,14
max,39,170,135,27,2,71
min,39,170,135,27,2,114
rnd,39,170,135,27,2,98
max,39,170,95,13,3,32
min,39,170,95,13,3,80
rnd,39,170,95,13,3,58
max,39,170,66,18,2,19
min,39,170,66,18,2,20
rnd,39,170,66,18,2,20
max,39,170,126,36,3,86
min,39,170,126,36,3,97
rnd,39,170,126,36,3,143
max,39,170,118,17,2,109
min,39,170,118,17,2,158
rnd,39,170,118,17,2,131
max,39,170,99,39,3,121
min,39,170,99,39,3,231
rnd,39,170,99,39,3,115
max,39,170,103,14,2,15
min,39,170,103,14,2,15
rnd,39,170,103,14,2,15
max,39,170,106,14,2,29
min,39,170,106,14,2,63
rnd,39,170,106,14,2,48
max,39,170,131,12,2,17
min,39,170,131,12,2,24
rnd,39,170,131,12,2,22
max,39,170,127,14,2,44
min,39,170,127,14,2,45
rnd,39,170,127,14,2,33
max,39,170,112,28,3,207
min,39,170,112,28,3,310
rnd,39,170,112,28,3,126
max,39,170,129,12,2,30
min,39,170,129,12,2,27
rnd,39,170,129,12,2,23
max,39,170,83,7,2,8
min,39,170,83,7,2,11
rnd,39,170,83,7,2,10
max,39,170,101,8,2,9
min,39,170,101,8,2,9
rnd,39,170,101,8,2,9
max,39,170,136,24,2,79
min,39,170,136,24,2,129
rnd,39,170,136,24,2,124
max,39,170,103,8,2,10
min,39,170,103,8,2,16
rnd,39,170,103,8,2,11
max,39,170,133,9,2,14
min,39,170,133,9,2,12
rnd,39,170,133,9,2,14
max,39,170,110,21,3,33
min,39,170,110,21,3,37
rnd,39,170,110,21,3,32
max,39,170,145,33,3,78
min,39,170,145,33,3,174
rnd,39,170,145,33,3,146
max,39,170,125,11,2,16
min,39,170,125,11,2,35
rnd,39,170,125,11,2,30
max,39,170,119,43,4,112
min,39,170,119,43,4,249
rnd,39,170,119,43,4,379
max,39,170,107,24,2,425
min,39,170,107,24,2,800
rnd,39,170,107,24,2,1080
max,39,170,133,17,2,41
min,39,170,133,17,2,31
rnd,39,170,133,17,2,29
max,39,170,101,19,2,94
min,39,170,101,19,2,98
rnd,39,170,101,19,2,324
max,39,170,126,29,3,113
min,39,170,126,29,3,462
rnd,39,170,126,29,3,136
max,39,170,149,52,3,183
min,39,170,149,52,3,385
rnd,39,170,149,52,3,258
max,39,170,127,8,2,9
min,39,170,127,8,2,9
rnd,39,170,127,8,2,9
max,39,170,67,8,2,17
min,39,170,67,8,2,26
rnd,39,170,67,8,2,20
max,39,170,102,40,3,771
max,39,170,128,23,3,91
min,39,170,128,23,3,121
rnd,39,170,128,23,3,54
max,39,170,58,16,2,62
min,39,170,58,16,2,141
rnd,39,170,58,16,2,113
max,39,170,150,63,4,249
min,39,170,150,63,4,640
max,39,170,125,40,3,198
min,39,170,125,40,3,841
rnd,39,170,125,40,3,407
max,39,170,113,26,2,254
min,39,170,113,26,2,247
rnd,39,170,113,26,2,222
max,39,170,99,41,3,64
min,39,170,99,41,3,96
rnd,39,170,99,41,3,84
max,39,170,130,13,2,14
min,39,170,130,13,2,14
rnd,39,170,130,13,2,14
max,39,170,119,10,2,11
min,39,170,119,10,2,11
rnd,39,170,119,10,2,11
max,39,170,144,19,3,20
min,39,170,144,19,3,30
rnd,39,170,144,19,3,21
max,39,170,93,10,2,17
min,39,170,93,10,2,18
rnd,39,170,93,10,2,20
max,39,170,93,20,2,33
min,39,170,93,20,2,48
rnd,39,170,93,20,2,41
max,39,170,109,46,3,119
min,39,170,109,46,3,196
rnd,39,170,109,46,3,185
max,39,170,135,27,2,86
