type,n,m,t,otps,cmps,iters
max,68,115,37,20,4,25
min,68,115,37,20,4,194
rnd,68,115,37,20,4,92
max,68,115,43,53,5,420
max,68,115,33,6,2,9
max,68,115,30,9,3,10
min,68,115,30,9,3,10
rnd,68,115,30,9,3,16
max,68,115,34,4,2,5
min,68,115,34,4,2,8
rnd,68,115,34,4,2,10
max,68,115,36,21,5,26
min,68,115,36,21,5,57
rnd,68,115,36,21,5,33
max,68,115,29,10,3,26
min,68,115,29,10,3,43
rnd,68,115,29,10,3,44
max,68,115,37,33,3,37
min,68,115,37,33,3,104
rnd,68,115,37,33,3,77
max,68,115,29,3,2,6
min,68,115,29,3,2,7
rnd,68,115,29,3,2,7
max,68,115,37,26,4,134
rnd,68,115,37,26,4,325
max,68,115,35,16,3,47
min,68,115,35,16,3,285
rnd,68,115,35,16,3,120
max,68,115,28,6,3,11
min,68,115,28,6,3,26
rnd,68,115,28,6,3,18
max,68,115,34,9,3,10
min,68,115,34,9,3,10
rnd,68,115,34,9,3,10
max,68,115,20,4,2,7
min,68,115,20,4,2,9
rnd,68,115,20,4,2,9
max,68,115,27,10,2,21
min,68,115,27,10,2,32
rnd,68,115,27,10,2,25
max,68,115,20,13,2,22
min,68,115,20,13,2,40
rnd,68,115,20,13,2,27
max,68,115,39,34,3,145
rnd,68,115,39,34,3,509
max,68,115,35,7,3,9
min,68,115,35,7,3,39
rnd,68,115,35,7,3,9
max,68,115,29,8,3,11
min,68,115,29,8,3,13
rnd,68,115,29,8,3,19
max,68,115,21,14,2,26
min,68,115,21,14,2,432
rnd,68,115,21,14,2,40
max,68,115,35,12,4,52
min,68,115,35,12,4,63
rnd,68,115,35,12,4,59
max,68,115,30,11,2,15
min,68,115,30,11,2,150
rnd,68,115,30,11,2,38
max,68,115,33,3,2,4
min,68,115,33,3,2,4
rnd,68,115,33,3,2,4
max,68,115,31,28,4,97
max,68,115,12,4,2,5
min,68,115,12,4,2,5
rnd,68,115,12,4,2,5
max,68,115,38,9,3,21
min,68,115,38,9,3,108
rnd,68,115,38,9,3,83
max,68,115,25,3,2,5
min,68,115,25,3,2,6
rnd,68,115,25,3,2,6
max,68,115,36,6,2,8
min,68,115,36,6,2,17
rnd,68,115,36,6,2,14
max,68,115,24,16,3,25
min,68,115,24,16,3,173
rnd,68,115,24,16,3,46
max,68,115,24,13,3,35
min,68,115,24,13,3,84
rnd,68,115,24,13,3,357
max,68,115,40,6,3,8
min,68,115,40,6,3,40
rnd,68,115,40,6,3,26
max,68,115,28,27,5,154
min,68,115,28,27,5,79
rnd,68,115,28,27,5,88
max,68,115,29,4,2,7
min,68,115,29,4,2,13
rnd,68,115,29,4,2,10
max,68,115,37,37,6,267
rnd,68,115,37,37,6,124
max,68,115,40,24,3,109
min,68,115,40,24,3,281
rnd,68,115,40,24,3,644
max,68,115,10,4,2,10
min,68,115,10,4,2,10
rnd,68,115,10,4,2,10
max,68,115,23,4,2,5
min,68,115,23,4,2,5
rnd,68,115,23,4,2,5
max,68,115,39,20,5,129
rnd,68,115,39,20,5,986
max,68,115,25,3,2,4
min,68,115,25,3,2,4
rnd,68,115,25,3,2,4
max,68,115,31,9,2,10
min,68,115,31,9,2,52
rnd,68,115,31,9,2,20
max,68,115,27,17,3,24
min,68,115,27,17,3,780
rnd,68,115,27,17,3,130
max,68,115,12,2,2,3
min,68,115,12,2,2,4
rnd,68,115,12,2,2,4
max,68,115,29,14,2,18
min,68,115,29,14,2,64
rnd,68,115,29,14,2,39
