type,n,m,t,otps,cmps,iters
max,120,305,76,5,2,6
min,120,305,76,5,2,12
rnd,120,305,76,5,2,9
max,120,305,150,14,4,24
min,120,305,150,14,4,51
max,120,305,135,18,5,19
min,120,305,135,18,5,28
rnd,120,305,135,18,5,31
max,120,305,24,1,2,2
min,120,305,24,1,2,2
rnd,120,305,24,1,2,2
max,120,305,136,16,4,38
max,120,305,59,5,3,6
min,120,305,59,5,3,6
rnd,120,305,59,5,3,6
max,120,305,59,1,2,2
min,120,305,59,1,2,2
rnd,120,305,59,1,2,2
max,120,305,102,6,3,7
min,120,305,102,6,3,8
rnd,120,305,102,6,3,7
max,120,305,2,1,2,2
min,120,305,2,1,2,2
rnd,120,305,2,1,2,2
max,120,305,125,1,2,2
min,120,305,125,1,2,2
rnd,120,305,125,1,2,2
max,120,305,100,7,3,18
min,120,305,100,7,3,14
rnd,120,305,100,7,3,23
max,120,305,62,1,2,2
min,120,305,62,1,2,2
rnd,120,305,62,1,2,2
max,120,305,136,9,5,12
min,120,305,136,9,5,13
rnd,120,305,136,9,5,13
max,120,305,144,7,3,8
min,120,305,144,7,3,8
rnd,120,305,144,7,3,8
max,120,305,127,21,5,48
rnd,120,305,127,21,5,103
max,120,305,78,5,2,6
min,120,305,78,5,2,6
rnd,120,305,78,5,2,6
max,120,305,143,30,6,82
max,120,305,47,2,2,3
min,120,305,47,2,2,3
rnd,120,305,47,2,2,3
max,120,305,145,6,2,7
min,120,305,145,6,2,11
rnd,120,305,145,6,2,8
max,120,305,83,3,2,4
min,120,305,83,3,2,4
rnd,120,305,83,3,2,4
max,120,305,149,8,3,9
min,120,305,149,8,3,33
rnd,120,305,149,8,3,16
max,120,305,108,17,3,18
min,120,305,108,17,3,37
rnd,120,305,108,17,3,51
max,120,305,69,4,3,5
min,120,305,69,4,3,8
rnd,120,305,69,4,3,10
max,120,305,137,30,4,33
min,120,305,137,30,4,69
rnd,120,305,137,30,4,86
max,120,305,106,4,2,5
min,120,305,106,4,2,5
rnd,120,305,106,4,2,5
max,120,305,119,5,2,6
min,120,305,119,5,2,6
rnd,120,305,119,5,2,6
max,120,305,80,2,2,3
min,120,305,80,2,2,3
rnd,120,305,80,2,2,3
max,120,305,84,7,4,8
min,120,305,84,7,4,8
rnd,120,305,84,7,4,8
max,120,305,91,5,3,6
min,120,305,91,5,3,6
rnd,120,305,91,5,3,6
max,120,305,78,3,2,5
min,120,305,78,3,2,6
rnd,120,305,78,3,2,6
max,120,305,82,2,3,3
min,120,305,82,2,3,3
rnd,120,305,82,2,3,3
max,120,305,97,13,5,17
min,120,305,97,13,5,23
rnd,120,305,97,13,5,23
max,120,305,108,4,2,5
min,120,305,108,4,2,6
rnd,120,305,108,4,2,5
max,120,305,126,17,6,28
min,120,305,126,17,6,32
rnd,120,305,126,17,6,35
max,120,305,91,7,4,10
min,120,305,91,7,4,9
rnd,120,305,91,7,4,11
max,120,305,121,19,5,23
min,120,305,121,19,5,138
rnd,120,305,121,19,5,44
max,120,305,89,3,2,4
min,120,305,89,3,2,6
rnd,120,305,89,3,2,5
max,120,305,116,11,4,21
min,120,305,116,11,4,56
rnd,120,305,116,11,4,58
max,120,305,3,1,2,2
min,120,305,3,1,2,2
rnd,120,305,3,1,2,2
max,120,305,64,3,2,4
min,120,305,64,3,2,7
rnd,120,305,64,3,2,5
max,120,305,124,24,4,55
rnd,120,305,124,24,4,119
max,120,305,145,12,4,21
min,120,305,145,12,4,36
rnd,120,305,145,12,4,47
max,120,305,62,3,3,4
min,120,305,62,3,3,4
rnd,120,305,62,3,3,4
max,120,305,129,3,2,4
min,120,305,129,3,2,6
rnd,120,305,129,3,2,5
max,120,305,85,4,2,5
min,120,305,85,4,2,5
rnd,120,305,85,4,2,5
max,120,305,78,3,2,4
min,120,305,78,3,2,4
rnd,120,305,78,3,2,4
max,120,305,36,2,2,3
min,120,305,36,2,2,3
rnd,120,305,36,2,2,3
max,120,305,142,22,4,28
rnd,120,305,142,22,4,83
max,120,305,81,1,2,2
min,120,305,81,1,2,2
rnd,120,305,81,1,2,2
max,120,305,86,6,3,7
min,120,305,86,6,3,8
rnd,120,305,86,6,3,10
max,120,305,125,7,3,8
min,120,305,125,7,3,12
rnd,120,305,125,7,3,9
max,120,305,68,5,3,6
min,120,305,68,5,3,6
rnd,120,305,68,5,3,6
max,120,305,54,1,2,2
min,120,305,54,1,2,2
rnd,120,305,54,1,2,2
max,120,305,101,3,3,4
min,120,305,101,3,3,4
rnd,120,305,101,3,3,4
max,120,305,146,12,3,19
rnd,120,305,146,12,3,44
max,120,305,105,2,3,3
min,120,305,105,2,3,4
rnd,120,305,105,2,3,4
max,120,305,77,2,2,3
min,120,305,77,2,2,3
rnd,120,305,77,2,2,3
max,120,305,91,18,5,30
min,120,305,91,18,5,42
rnd,120,305,91,18,5,52
max,120,305,150,9,4,10
min,120,305,150,9,4,11
rnd,120,305,150,9,4,10
max,120,305,150,12,3,13
min,120,305,150,12,3,25
rnd,120,305,150,12,3,22
max,120,305,78,4,2,5
min,120,305,78,4,2,10
rnd,120,305,78,4,2,9
max,120,305,103,10,5,11
min,120,305,103,10,5,13
rnd,120,305,103,10,5,13
max,120,305,116,2,2,3
min,120,305,116,2,2,3
